step,tag,value
74000,Self-play/ELO,1184.9390869140625
75000,Self-play/ELO,1195.1915283203125
75000,Self-play/ELO,1188.7098388671875
75000,Self-play/ELO,1190.7344970703125
75000,Self-play/ELO,1185.7996826171875
75000,Self-play/ELO,1184.021240234375
75000,Self-play/ELO,1184.9390869140625
75000,Self-play/ELO,1179.4361572265625
76000,Self-play/ELO,1188.7098388671875
76000,Self-play/ELO,1186.6649169921875
76000,Self-play/ELO,1185.0633544921875
76000,Self-play/ELO,1185.134765625
76000,Self-play/ELO,1184.021240234375
76000,Self-play/ELO,1178.9521484375
77000,Self-play/ELO,1195.1915283203125
77000,Self-play/ELO,1191.0908203125
77000,Self-play/ELO,1188.5687255859375
77000,Self-play/ELO,1186.7071533203125
77000,Self-play/ELO,1190.4925537109375
77000,Self-play/ELO,1184.021240234375
78000,Self-play/ELO,1195.1915283203125
78000,Self-play/ELO,1186.7071533203125
78000,Self-play/ELO,1190.4925537109375
78000,Self-play/ELO,1185.0633544921875
78000,Self-play/ELO,1184.021240234375
78000,Self-play/ELO,1184.9390869140625
78000,Self-play/ELO,1178.9521484375
79000,Self-play/ELO,1190.8433837890625
79000,Self-play/ELO,1186.7930908203125
79000,Self-play/ELO,1186.7071533203125
79000,Self-play/ELO,1184.893798828125
79000,Self-play/ELO,1182.5943603515625
79000,Self-play/ELO,1184.9390869140625
79000,Self-play/ELO,1178.9521484375
80000,Self-play/ELO,1194.55029296875
80000,Self-play/ELO,1190.1103515625
80000,Self-play/ELO,1185.82177734375
80000,Self-play/ELO,1186.7071533203125
80000,Self-play/ELO,1190.4925537109375
80000,Self-play/ELO,1185.0633544921875
80000,Self-play/ELO,1184.893798828125
80000,Self-play/ELO,1180.9422607421875
81000,Self-play/ELO,1192.7945556640625
81000,Self-play/ELO,1189.6231689453125
81000,Self-play/ELO,1185.409912109375
81000,Self-play/ELO,1185.77880859375
81000,Self-play/ELO,1185.0633544921875
81000,Self-play/ELO,1184.893798828125
81000,Self-play/ELO,1179.9898681640625
81000,Self-play/ELO,1178.7828369140625
82000,Self-play/ELO,1189.893798828125
82000,Self-play/ELO,1184.7581787109375
82000,Self-play/ELO,1190.4925537109375
82000,Self-play/ELO,1185.0633544921875
82000,Self-play/ELO,1184.893798828125
82000,Self-play/ELO,1179.2747802734375
82000,Self-play/ELO,1184.9390869140625
82000,Self-play/ELO,1176.9266357421875
83000,Self-play/ELO,1184.8548583984375
83000,Self-play/ELO,1185.0633544921875
83000,Self-play/ELO,1184.893798828125
83000,Self-play/ELO,1177.9832763671875
83000,Self-play/ELO,1184.9390869140625
83000,Self-play/ELO,1176.211669921875
84000,Self-play/ELO,1190.861572265625
84000,Self-play/ELO,1183.7989501953125
84000,Self-play/ELO,1184.8548583984375
84000,Self-play/ELO,1190.4925537109375
84000,Self-play/ELO,1185.0633544921875
84000,Self-play/ELO,1184.893798828125
84000,Self-play/ELO,1184.9390869140625
84000,Self-play/ELO,1175.0084228515625
85000,Self-play/ELO,1189.9075927734375
85000,Self-play/ELO,1183.559814453125
85000,Self-play/ELO,1184.6741943359375
85000,Self-play/ELO,1190.4925537109375
85000,Self-play/ELO,1185.0633544921875
85000,Self-play/ELO,1184.4298095703125
85000,Self-play/ELO,1175.13330078125
86000,Self-play/ELO,1190.9825439453125
86000,Self-play/ELO,1183.559814453125
86000,Self-play/ELO,1181.917724609375
86000,Self-play/ELO,1190.00830078125
86000,Self-play/ELO,1185.0633544921875
86000,Self-play/ELO,1184.9390869140625
86000,Self-play/ELO,1174.7550048828125
87000,Self-play/ELO,1190.4195556640625
